Nucleotide,Group,phyloP score
1600,Ants,0.15
1601,Ants,-0.915
1602,Ants,0.523
1603,Ants,0
1604,Ants,-0.211
1605,Ants,0
1606,Ants,0
1607,Ants,0.187
1608,Ants,0.099
1609,Ants,0
1610,Ants,1.248
1611,Ants,0
1612,Ants,0
1613,Ants,0
1614,Ants,0.098
1615,Ants,0
1616,Ants,-0.445
1617,Ants,0
1618,Ants,0
1619,Ants,0
1620,Ants,0.098
1621,Ants,0
1622,Ants,0.099
1623,Ants,-0.177
1624,Ants,0.44
1625,Ants,0.443
1626,Ants,-1.335
1627,Ants,0
1628,Ants,0.098
1629,Ants,1.025
1630,Ants,0.409
1631,Ants,0.187
1632,Ants,-1.504
1633,Ants,0.306
1634,Ants,0.098
1635,Ants,-1.794
1636,Ants,-0.493
1637,Ants,-1.895
1638,Ants,-0.962
1639,Ants,0.225
1640,Ants,0.147
1641,Ants,-1.463
1642,Ants,0.186
1643,Ants,0
1644,Ants,-0.774
1645,Ants,-0.891
1646,Ants,-0.164
1647,Ants,-1.149
1648,Ants,-1.938
1649,Ants,0.099
1650,Ants,-0.105
1651,Ants,-1.595
1652,Ants,-0.492
1653,Ants,-0.261
1654,Ants,0.227
1655,Ants,0.098
1656,Ants,-0.715
1657,Ants,0
1658,Ants,0.694
1659,Ants,0.098
1660,Ants,0
1661,Ants,0.854
1662,Ants,0.098
1663,Ants,0
1664,Ants,0.078
1665,Ants,0
1666,Ants,0
1667,Ants,-0.244
1668,Ants,0.226
1669,Ants,0
1670,Ants,0.615
1671,Ants,0
1672,Ants,0
1673,Ants,0
1674,Ants,0
1675,Ants,0
1676,Ants,0.522
1677,Ants,-0.382
1678,Ants,0.099
1679,Ants,0.602
1680,Ants,0
1681,Ants,0
1682,Ants,-1.177
1683,Ants,0
1684,Ants,0
1685,Ants,0.711
1686,Ants,0
1687,Ants,0.098
1688,Ants,0.498
1689,Ants,0
1690,Ants,0
1691,Ants,0.552
1692,Ants,0
1693,Ants,0.098
1694,Ants,0.374
1695,Ants,0
1696,Ants,0
1697,Ants,0.6
1698,Ants,0
1699,Ants,0
1700,Ants,-1.805
1600,Wasps,0.068
1601,Wasps,0.71
1602,Wasps,0.216
1603,Wasps,0
1604,Wasps,0.406
1605,Wasps,0
1606,Wasps,0
1607,Wasps,0.084
1608,Wasps,0.046
1609,Wasps,0
1610,Wasps,0.47
1611,Wasps,0
1612,Wasps,0
1613,Wasps,0
1614,Wasps,0.045
1615,Wasps,0
1616,Wasps,0.375
1617,Wasps,0
1618,Wasps,0
1619,Wasps,0
1620,Wasps,0.045
1621,Wasps,0
1622,Wasps,0.046
1623,Wasps,-3.885
1624,Wasps,-2.945
1625,Wasps,-1.077
1626,Wasps,0.831
1627,Wasps,0
1628,Wasps,0.046
1629,Wasps,-3.717
1630,Wasps,-2.937
1631,Wasps,0.084
1632,Wasps,-3.525
1633,Wasps,0.132
1634,Wasps,0.045
1635,Wasps,-0.486
1636,Wasps,-3.053
1637,Wasps,-3.784
1638,Wasps,-3.688
1639,Wasps,0.1
1640,Wasps,0.067
1641,Wasps,-0.436
1642,Wasps,0.083
1643,Wasps,0
1644,Wasps,-1.857
1645,Wasps,-1.317
1646,Wasps,-0.879
1647,Wasps,-0.138
1648,Wasps,-3.554
1649,Wasps,0.046
1650,Wasps,-3.329
1651,Wasps,-1.25
1652,Wasps,-2.776
1653,Wasps,-2.93
1654,Wasps,0.1
1655,Wasps,0.046
